idx	source	field	matches	text
7	刑事訴訟法 第二百七十四条 第1項	刑事訴訟法	があつた	裁判所の構内にいる被告人に対し公判期日を通知したときは、召喚状の送達があつた場合と同一の効力を有する。
9	刑事訴訟法 第五十二条 第1項	刑事訴訟法	のみによつてこれを	公判期日における訴訟手続で公判調書に記載されたものは、公判調書のみによつてこれを証明することができる。
24	刑事訴訟法 第四百四十一条 第1項	刑事訴訟法	けることがないようになつたときでも	再審の請求は、刑の執行が終り、又はその執行を受けることがないようになつたときでも、これをすることができる。
27	刑事訴訟法 第二百九十九条の七 第3項	刑事訴訟法	そのとつた	前二項の規定による請求を受けた者は、そのとつた処置をその請求をした検察官又は裁判所に通知しなければならない。
33	刑事訴訟法 第百七十四条 第1項	刑事訴訟法	によつて	特別の知識によつて知り得た過去の事実に関する尋問については、この章の規定によらないで、前章の規定を適用する。
38	刑事訴訟法 第三百十五条 第1項	刑事訴訟法	がかわつたときは	開廷後裁判官がかわつたときは、公判手続を更新しなければならない。但し、判決の宣告をする場合は、この限りでない。
43	刑事訴訟法 第百八十一条 第2項	刑事訴訟法	によつて	被告人の責に帰すべき事由によつて生じた費用は、刑の言渡をしない場合にも、被告人にこれを負担させることができる。
47	刑事訴訟法 第二百七十一条 第2項	刑事訴訟法	があつた,さかのぼつてその	公訴の提起があつた日から二箇月以内に起訴状の謄本が送達されないときは、公訴の提起は、さかのぼつてその効力を失う。
63	刑事訴訟法 第三百十六条 第1項	刑事訴訟法	すべきものであつた	地方裁判所において一人の裁判官のした訴訟手続は、被告事件が合議体で審判すべきものであつた場合にも、その効力を失わない。
64	刑事訴訟法 第三百十六条の八 第1項	刑事訴訟法	しなくなつたときは	弁護人が公判前整理手続期日に出頭しないとき、又は在席しなくなつたときは、裁判長は、職権で弁護人を付さなければならない。
65	刑事訴訟法 第三百四十五条 第1項	刑事訴訟法	があつたときは	無罪、免訴、刑の免除、刑の全部の執行猶予、公訴棄却、罰金又は科料の裁判の告知があつたときは、勾留状は、その効力を失う。
67	刑事訴訟法 第八十二条 第3項	刑事訴訟法	があつたとき	前二項の請求は、保釈、勾留の執行停止若しくは勾留の取消があつたとき、又は勾留状の効力が消滅したときは、その効力を失う。
